Saving all output to "/home/user12/USER12Q1.csv". Enter "record" with no arguments to stop it.
'NAME','STATE','STARS'
'John's Chinese BBQ Restaurant','ON','3.0'
'Sainsbury's','EDH','4.0'
'Primal Brewery','NC','4.0'
'The UPS Store','AZ','3.5'
'Valley Bone and Joint Specialists','AZ','4.5'
'Anesthesia Associates','NV','1.5'
'Great Clips','AZ','3.5'
'Dove Cleaners','ON','3.0'
'Delmonico Steakhouse','NV','4.0'
'Valley Wide Moving Company','AZ','1.5'
'Sunnyside Grill','ON','3.5'
'Speedway Harley Davidson','NC','3.0'
'World Food Championships','NV','3.0'
'Purrfect Auto Service','NV','3.0'
'MV Nail Spa','OH','3.0'
'Kabob Express','AZ','4.5'
'Bath & Body Works','NC','4.0'
'Lippincott Van Lines/Southern Nevada Movers','NV','2.0'
'The Bar At Bermuda & St. Rose','NV','3.5'
'Hurst Bakery','ON','4.0'
'Welch Physical Therapy','AZ','3.5'
'Hampton Inn by Hilton','ON','2.5'
'Mm Mm Pizza','PA','4.0'
'The Guitar Dog','AZ','5.0'
'Happy Moose Bar and Grill','OH','3.5'
'Shears and Beards','NV','4.5'
'Hungry Howie's Pizza','NC','3.0'
'Rincon Ventures','AZ','2.5'
'Sam's Club','AZ','3.0'
'On Q Property Management','AZ','3.5'
'International Newsagents','EDH','4.0'
'Park For U','ON','3.5'
'KFC','OH','2.0'
'Playful Minds','ON','4.5'
'Don Valley North Toyota Scion Service','ON','3.5'
'Choice Transmission & Complete Auto Care','AZ','4.0'
'Circle K','AZ','3.5'
'Meital Amrami - My Home Group','AZ','5.0'
'Denny's','OH','2.0'
'East Wind Nannies','PA','2.5'
'Keung Kee Restaurant','ON','3.5'
'Valley Spine & Health Center','NV','4.0'
'The Greens','NV','2.0'
'The Cashmere Shop','ON','5.0'
'Charlotte Root Canal Center','NC','3.5'
'Ten Pin Alley','WI','3.5'
'SAE Institute','BW','4.5'
'Tropicana LV Weddings','NV','3.5'
'Dial Carpet Cleaning','NV','5.0'
'Starbucks','ON','3.5'
'Pinnacle Restoration','NV','5.0'
'Dollar Rent A Car','NV','1.0'
'Famous Footwear','AZ','4.0'
'Studio 924 Hair Designs','WI','4.0'
'Pio Pio','NC','4.0'
'Olde 8 Automotive','OH','5.0'
'Eazor's Auto Salon','PA','5.0'
'The Fresh Market','NC','4.0'
'Howl at the Moon','PA','3.0'
'AmeriPride','AZ','1.0'
'Lucky's Pet Grooming & Boutique','NV','3.5'
'Mandalay Bay Events Center','NV','3.5'
'Lake Erie Nature & Science Center','OH','4.5'
'Roberto Cavalli','NV','3.5'
'Q's Nails','NC','4.0'
'Columbus Bakery','ON','3.0'
'The Manor - Boutique Salon','ON','4.5'
'Nook CafΓ©','NV','3.5'
'Nightlife Tours','NV','3.5'
'Cleveland Indians','OH','4.0'
'Advantage Rent-A-Car','AZ','2.5'
'Pita Kabob Grill','AZ','4.5'
'Maricopa County Department of Public Health','AZ','4.5'
'Mi Peru South American Grill','NV','4.0'
'Santa Claus Parade','ON','3.0'
'Arizona Auto Wash','AZ','3.0'
'Bella Vista','BW','3.5'
'Integrated Pain Consultants - Mesa','AZ','5.0'
'Pearson Moving','AZ','4.5'
'Great Clips','NC','4.0'
'Impressions Dental','AZ','3.5'
