Saving all output to "/home/user12/USER12Q2.csv". Enter "record" with no arguments to stop it.
'NAME','ADDRESS','CITY','REVIEWSCOUNT'
'Giant Eagle Market District','5550 Centre Ave','Pittsburgh','95'
'Target','605 N Stephanie St','Henderson','91'
'CVS Pharmacy','30791 Detroit Rd','Westlake','9'
'Dm-drogerie Markt','Maybachstr. 5','Leinfelden-Echterdingen','9'
'Walgreens','18433 N 19Th Ave','Phoenix','9'
'Carle Clinic','1818 E Windsor Rd','Urbana','9'
'Walgreens','2400 E Tropicana Ave','Las Vegas','9'
'CVS Pharmacy','1402 E Lake Mead Pkwy','Henderson','9'
'Vesper Specialty Pharmacy','4225 S Eastern Ave Ste 16','Las Vegas','9'
'Walgreens','1825 W Bethany Home Rd','Phoenix','9'
'Fry's & Fry's Marketplace','981 W Elliot Rd','Chandler','9'
'CVS Pharmacy','23215 N Pima Rd','Scottsdale','9'
'Giant Eagle','50 W Bridge St','Berea','9'
'Cvs Pharmacy','1133 S Dobson Rd Ste 4','Mesa','9'
'Fry's Food & Drug Stores','4353 W Bethany Home Rd','Glendale','9'
'CVS Pharmacy','3975 E Thunderbird Rd','Phoenix','9'
'Walmart Supercenter','5198 Boulder Hwy','Las Vegas','80'
'Walgreens','7824 Pineville-Matthews Rd','Charlotte','8'
'Shoppers Drug Mart','20 Bloor St E','Toronto','8'
'Cvs Pharmacy','1305 Matthews Twnshp Pkwy','Matthews','8'
'Shoppers Drug Mart','565 Sherbourne Street Unit 40','Toronto','8'
'Apotheke in der Schwabengalerie','Schwabenplatz 1','Stuttgart','8'
'Bi-Lo','9108 Lawyers Rd','Charlotte','8'
'Cvs Pharmacy','2100 W Charleston Blvd','Las Vegas','8'
'Walker's Drug Store','4390 Colwick Rd','Charlotte','8'
'Walgreens','3808 E Tropicana Ave','Las Vegas','8'
'Mallatt's Pharmacy & Costumes','3506 Monroe St','Madison','8'
'Smith's','10100 W Tropicana Ave','Las Vegas','71'
'BriovaRX','8350 Briova Dr','Las Vegas','7'
'Rite Aid','4411 Howley St','Pittsburgh','7'
'Shop N' Save','2100 Washington Pike','Carnegie','7'
'Cvs Pharmacy','2700 S Las Vegas Blvd Ste 100','Las Vegas','7'
'Cvs Pharmacy','3170 S Higley Rd','Gilbert','7'
'Cvs Pharmacy','3440 W Glendale Ave','Phoenix','7'
'CVS Pharmacy','4990 South Arizona Ave','Chandler','7'
'Hi-Health','3222 S Mill Ave','Tempe','7'
'CVS Pharmacy','1360 E Flamingo Rd','Las Vegas','7'
'Cvs Pharmacy','8420 Steele Creek Rd','Charlotte','7'
'Walgreens','29660 N Tatum Blvd','Cave Creek','7'
'Walgreens','6906 University Blvd','Moon Township','7'
'CVS Pharmacy','6045 N Scottsdale Rd Ste 10007','Scottsdale','7'
'CVS Pharmacy','15300 N Cotton Ln','Surprise','7'
'Giant Eagle','15325 Edgecliff Ave','Cleveland','7'
'Shoppers Drug Mart','4841 Yonge Street','Toronto','7'
'GNC','4150 Blue Diamond Rd Ste 109','Las Vegas','7'
'CVS Pharmacy','5050 W Baseline Rd','Laveen','7'
'Walgreens','15490 W Bell Rd','Surprise','7'
'Marc's Stores','6849 Southland Dr','Middleburg Heights','7'
'Fry's Food Stores','3232 S Mill Ave','Tempe','7'
'Spring Valley Pharmacy','2725 S Jones Blvd Ste 101','Las Vegas','7'
'Women's International Pharmacy','12012 N 111th Ave','Youngtown','7'
'SnS Pharmacy','2080 N. Dobson Rd. Ste 3','Chandler','7'
'Vons','1131 E Tropicana Ave','Las Vegas','68'
'Fry's Food & Drug','10450 N 90th St','Scottsdale','67'
'Cloud 9 Hookah Lounge','6825 W Russell Rd Ste 160','Las Vegas','64'
'Albertsons','7350 S Rainbow Blvd','Las Vegas','60'
