Saving all output to "/home/user12/USER12Q3.csv". Enter "record" with no arguments to stop it.
'REVIEWCOUNTSUM','CATEGORIES'
'1','Accessories'
'1','Accountants'
'100','Active Life'
'2','Addiction Medicine'
'1','Adult'
'8','Adult Entertainment'
'11','Air Duct Cleaning'
'4','Airlines'
'24','Airport Shuttles'
'1','Airport Terminals'
'5','Airports'
'1','Amateur Sports Teams'
'37','American (New)'
'77','American (Traditional)'
'10','Apartments'
'1','Appliances'
'8','Appliances & Repair'
'1','Art Schools'
'43','Arts & Entertainment'
'1','Asian Fusion'
'5','Assisted Living Facilities'
'4','Auto Detailing'
'1','Auto Glass Services'
'1','Auto Insurance'
'4','Auto Parts & Supplies'
'14','Auto Repair'
'149','Automotive'
'4','Bagels'
'7','Bail Bondsmen'
'10','Bakeries'
'2','Bankruptcy Law'
'2','Barbeque'
'1','Barbers'
'1','Barre Classes'
'61','Bars'
'1','Bartenders'
'2','Basketball Courts'
'1','Beaches'
'41','Beauty & Spas'
'6','Bed & Breakfast'
'16','Beer'
'1','Beer Tours'
'1','Bike Sharing'
'2','Blow Dry/Out Services'
'1','Boat Repair'
'2','Boating'
'5','Body Shops'
'1','Bookstores'
'3','Boot Camps'
'1','Botanical Gardens'
'2','Bowling'
'69','Breakfast & Brunch'
'2','Bridal'
'1','British'
'1','Buffets'
'6','Building Supplies'
'71','Burgers'
'1','Bus Tours'
'2','Buses'
'1','Business Consulting'
'1','Cabaret'
'6','Cafes'
'2','Canadian (New)'
'2','Cannabis Clinics'
'2','Cannabis Dispensaries'
'1','Car Brokers'
'3','Car Dealers'
'12','Car Rental'
'18','Car Wash'
'1','Cardiologists'
'1','Career Counseling'
'1','Caricatures'
'21','Carpet Cleaning'
'2','Carpet Installation'
'2','Carpeting'
'25','Casinos'
'12','Caterers'
'4','Check Cashing/Pay-day Loans'
'1','Cheesesteaks'
'6','Chicken Wings'
'3','Child Care & Day Care'
'1','Chimney Sweeps'
'1','Chinese'
'2','Churches'
'1','Clock Repair'
'1','Clowns'
'1','Club Crawl'
'5','Cocktail Bars'
'36','Coffee & Tea'
'2','Colleges & Universities'
'2','Comedy Clubs'
'3','Comfort Food'
'4','Commercial Real Estate'
'2','Community Service/Non-Profit'
'1','Computers'
'1','Concierge Medicine'
'1','Condominiums'
'72','Contractors'
'105','Convenience Stores'
'1','Cooking Classes'
'1','Cosmetic Dentists'
