Saving all output to "/home/user12/USER12Q5.csv". Enter "record" with no arguments to stop it.
'CHECKINSUM','WEEKDAY','HOUR'
'3354','Fri','0:00'
'163','Fri','10:00'
'304','Fri','11:00'
'5.3E+2','Fri','12:00'
'7E+2','Fri','13:00'
'1062','Fri','14:00'
'1758','Fri','15:00'
'2375','Fri','16:00'
'2.54E+3','Fri','17:00'
'3039','Fri','18:00'
'3902','Fri','19:00'
'2743','Fri','1:00'
'2924','Fri','20:00'
'2981','Fri','21:00'
'3.36E+3','Fri','22:00'
'3801','Fri','23:00'
'2445','Fri','2:00'
'1652','Fri','3:00'
'964','Fri','4:00'
'598','Fri','5:00'
'292','Fri','6:00'
'198','Fri','7:00'
'428','Fri','8:00'
'164','Fri','9:00'
'2136','Mon','0:00'
'205','Mon','10:00'
'2.7E+2','Mon','11:00'
'368','Mon','12:00'
'654','Mon','13:00'
'917','Mon','14:00'
'1335','Mon','15:00'
'2087','Mon','16:00'
'2288','Mon','17:00'
'2567','Mon','18:00'
'2559','Mon','19:00'
'1854','Mon','1:00'
'2719','Mon','20:00'
'2442','Mon','21:00'
'2499','Mon','22:00'
'2534','Mon','23:00'
'1647','Mon','2:00'
'998','Mon','3:00'
'779','Mon','4:00'
'5.2E+2','Mon','5:00'
'261','Mon','6:00'
'295','Mon','7:00'
'135','Mon','8:00'
'1.2E+2','Mon','9:00'
'4044','Sat','0:00'
'348','Sat','10:00'
'306','Sat','11:00'
'5E+2','Sat','12:00'
'859','Sat','13:00'
'1483','Sat','14:00'
'2251','Sat','15:00'
'3484','Sat','16:00'
'3915','Sat','17:00'
'4097','Sat','18:00'
'4832','Sat','19:00'
'3784','Sat','1:00'
'5164','Sat','20:00'
'4183','Sat','21:00'
'4326','Sat','22:00'
'4121','Sat','23:00'
'2993','Sat','2:00'
'2417','Sat','3:00'
'1892','Sat','4:00'
'987','Sat','5:00'
'9.7E+2','Sat','6:00'
'492','Sat','7:00'
'327','Sat','8:00'
'167','Sat','9:00'
'3441','Sun','0:00'
'172','Sun','10:00'
'2.5E+2','Sun','11:00'
'295','Sun','12:00'
'509','Sun','13:00'
'1061','Sun','14:00'
'1548','Sun','15:00'
'2612','Sun','16:00'
'3229','Sun','17:00'
'2904','Sun','18:00'
'3943','Sun','19:00'
'4392','Sun','1:00'
'3443','Sun','20:00'
'2914','Sun','21:00'
'2.88E+3','Sun','22:00'
'2653','Sun','23:00'
'2814','Sun','2:00'
'2814','Sun','3:00'
'2301','Sun','4:00'
'1003','Sun','5:00'
'912','Sun','6:00'
'824','Sun','7:00'
'395','Sun','8:00'
'285','Sun','9:00'
'3462','Thu','0:00'
'1.8E+2','Thu','10:00'
'265','Thu','11:00'
'495','Thu','12:00'
'715','Thu','13:00'
'1213','Thu','14:00'
'1486','Thu','15:00'
'2159','Thu','16:00'
'2542','Thu','17:00'
'2778','Thu','18:00'
'2995','Thu','19:00'
'2914','Thu','1:00'
'2759','Thu','20:00'
'2661','Thu','21:00'
'3327','Thu','22:00'
'3023','Thu','23:00'
'2104','Thu','2:00'
'1408','Thu','3:00'
'1.05E+3','Thu','4:00'
'586','Thu','5:00'
'3.6E+2','Thu','6:00'
'322','Thu','7:00'
'215','Thu','8:00'
'134','Thu','9:00'
'2591','Tue','0:00'
'529','Tue','10:00'
'267','Tue','11:00'
'532','Tue','12:00'
'683','Tue','13:00'
'1021','Tue','14:00'
'1426','Tue','15:00'
'2125','Tue','16:00'
'2186','Tue','17:00'
'2475','Tue','18:00'
'2.85E+3','Tue','19:00'
'2229','Tue','1:00'
'2349','Tue','20:00'
'2407','Tue','21:00'
'2503','Tue','22:00'
'2779','Tue','23:00'
'1766','Tue','2:00'
'1184','Tue','3:00'
'1.02E+3','Tue','4:00'
'437','Tue','5:00'
'367','Tue','6:00'
'3.4E+2','Tue','7:00'
'275','Tue','8:00'
'159','Tue','9:00'
'3108','Wed','0:00'
'134','Wed','10:00'
'312','Wed','11:00'
'532','Wed','12:00'
'763','Wed','13:00'
'996','Wed','14:00'
'1366','Wed','15:00'
'2272','Wed','16:00'
'2271','Wed','17:00'
'2596','Wed','18:00'
'2837','Wed','19:00'
'2539','Wed','1:00'
'2525','Wed','20:00'
'2484','Wed','21:00'
'2935','Wed','22:00'
'3006','Wed','23:00'
'2011','Wed','2:00'
'1405','Wed','3:00'
'8.4E+2','Wed','4:00'
'499','Wed','5:00'
'266','Wed','6:00'
'266','Wed','7:00'
'142','Wed','8:00'
'184','Wed','9:00'
168 rows selected (1.283 seconds)
