Saving all output to "/home/user12/USER12Q6.csv". Enter "record" with no arguments to stop it.
'CHECKINSUM','CATEGORIES'
'1','3D Printing'
'1','Acai Bowls'
'24','Accessories'
'5','Accountants'
'273','Active Life'
'21','Acupuncture'
'3','Adult'
'7','Adult Education'
'5','Adult Entertainment'
'1','Afghan'
'1','African'
'2','Air Duct Cleaning'
'7','Airlines'
'3','Airport Lounges'
'8','Airport Shuttles'
'1','Airport Terminals'
'1','Airports'
'3','Allergists'
'2','Amateur Sports Teams'
'139','American (New)'
'289','American (Traditional)'
'5','Amusement Parks'
'2','Animal Shelters'
'12','Antiques'
'53','Apartments'
'7','Appliances'
'1E+1','Appliances & Repair'
'2','Aquariums'
'1','Arabian'
'4','Arcades'
'1','Argentine'
'1E+1','Art Galleries'
'1','Art Schools'
'5','Art Supplies'
'13','Arts & Crafts'
'124','Arts & Entertainment'
'29','Asian Fusion'
'3','Assisted Living Facilities'
'2','Audiologist'
'5','Auto Customization'
'19','Auto Detailing'
'14','Auto Glass Services'
'7','Auto Insurance'
'1','Auto Loan Providers'
'68','Auto Parts & Supplies'
'244','Auto Repair'
'2','Auto Upholstery'
'444','Automotive'
'5','Baby Gear & Furniture'
'34','Bagels'
'2','Bail Bondsmen'
'145','Bakeries'
'2','Bankruptcy Law'
'8E+1','Banks & Credit Unions'
'68','Barbeque'
'61','Barbers'
'2','Barre Classes'
'185','Bars'
'1','Baseball Fields'
'3','Battery Stores'
'1','Beaches'
'435','Beauty & Spas'
'3','Bed & Breakfast'
'38','Beer'
'7','Beer Bar'
'1','Beer Garden'
'5','Beer Tours'
'4','Belgian'
'2','Bespoke Clothing'
'1','Beverage Store'
'1','Bike Rentals'
'1','Bike Repair/Maintenance'
'3','Bikes'
'3','Bistros'
'16','Blood & Plasma Donation Centers'
'4','Blow Dry/Out Services'
'1','Boat Dealers'
'2','Boating'
'43','Body Shops'
'1','Bookkeepers'
'32','Books'
'17','Bookstores'
'4','Boot Camps'
'6','Botanical Gardens'
'3','Bowling'
'46','Boxing'
'12','Brasseries'
'391','Breakfast & Brunch'
'14','Breweries'
'9','Bridal'
'3','British'
'4','Bubble Tea'
'13','Buffets'
'14','Building Supplies'
'124','Burgers'
'12','Butcher'
'1','CPR Classes'
'1','Cabinetry'
'163','Cafes'
'1E+1','Cafeteria'
'19','Cajun/Creole'
'2','Campgrounds'
'25','Canadian (New)'
'1','Candle Stores'
'5','Candy Stores'
'11','Cannabis Clinics'
'1','Cantonese'
'1','Car Auctions'
'2','Car Buyers'
'99','Car Dealers'
'1','Car Inspectors'
'53','Car Rental'
'2','Car Stereo Installation'
'41','Car Wash'
'4','Car Window Tinting'
'5','Cardio Classes'
'3','Cardiologists'
'5','Cards & Stationery'
'1','Career Counseling'
'24','Caribbean'
'13','Carpet Cleaning'
'2','Carpet Installation'
'2','Carpeting'
'47','Casinos'
'66','Caterers'
'3','Check Cashing/Pay-day Loans'
'6','Cheese Shops'
'4','Cheesesteaks'
'3','Chicken Shop'
'34','Chicken Wings'
'28','Child Care & Day Care'
'6','Children's Clothing'
'98','Chinese'
'41','Chiropractors'
'2','Chocolatiers & Shops'
'14','Churches'
'11','Cinema'
'1','Climbing'
'1','Clock Repair'
'4','Cocktail Bars'
'798','Coffee & Tea'
'17','Coffee Roasteries'
'76','Colleges & Universities'
'7','Colombian'
'2','Colonics'
'1','Comedy Clubs'
'16','Comfort Food'
'2','Comic Books'
'3','Commercial Real Estate'
'1','Community Centers'
'19','Community Service/Non-Profit'
'7','Computers'
'1','Concept Shops'
'1','Contract Law'
'36','Contractors'
'46','Convenience Stores'
'1','Cooking Schools'
'6E+1','Cosmetic Dentists'
'16','Cosmetic Surgeons'
'33','Cosmetics & Beauty Supply'
'2','Cosmetology Schools'
'2','Costumes'
'8','Counseling & Mental Health'
'1','Country Clubs'
'7','Couriers & Delivery Services'
'15','Courthouses'
'11','Creperies'
'2','Criminal Defense Law'
'1','Cryotherapy'
'4','Cuban'
'1','Cultural Center'
'3','Cupcakes'
'1','Currency Exchange'
'1','Curry Sausage'
'2','Custom Cakes'
'4','Cycling Classes'
'1','Czech'
'1','DJs'
'1','DUI Law'
'1','Damage Restoration'
'2','Dance Clubs'
'2','Dance Schools'
'2','Dance Studios'
'1','Data Recovery'
'9E+1','Day Spas'
'7','Delicatessen'
'89','Delis'
'1','Dental Hygienists'
'166','Dentists'
'56','Department Stores'
'51','Departments of Motor Vehicles'
'18','Dermatologists'
'84','Desserts'
'5','Diagnostic Imaging'
'24','Diagnostic Services'
'2','Dialysis Clinics'
'13','Dim Sum'
'106','Diners'
'2','Disc Golf'
'16','Discount Store'
'1','Dive Bars'
'2','Diving'
'6','Divorce & Family Law'
'3','Do-It-Yourself Food'
'229','Doctors'
'4','Dog Parks'
'7','Dog Walkers'
'3','Donation Center'
'51','Donuts'
'2','Door Sales/Installation'
'4','Driving Schools'
'72','Drugstores'
'7','Dry Cleaning'
'41','Dry Cleaning & Laundry'
'1','Drywall Installation & Repair'
'1E+1','Ear Nose & Throat'
'114','Education'
'5','Educational Services'
'6','Electricians'
'16','Electronics'
'4','Electronics Repair'
'14','Elementary Schools'
'1','Embassy'
'3','Embroidery & Crochet'
'6','Emergency Pet Hospital'
'2','Empanadas'
'25','Employment Agencies'
'1','Employment Law'
'1','Endocrinologists'
'13','Endodontists'
