Saving all output to "/home/user12/USER12Q7.csv". Enter "record" with no arguments to stop it.
'NAME','NEIGHBORHOOD','ADDRESS','CITY','STATE','POSTALCODE','LATITUDE','LONGTITUDE','STARS','REVIEWCOUNT','ISOPEN','CATEGORIES'
'Snooze An AM Eatery','','615 S College Ave Ste 103','Tempe','AZ','85281','334.238.394.936','-111.934.801.369','4.5','708','1','Restaurants'
'Green Valley Ranch Resort & Spa','Anthem','2300 Paseo Verde Pkwy','Henderson','NV','89052','36.020.552','-115.089.984','3.5','756','1','Resorts'
'La Grande Orange Grocery','','4410 N 40th St','Phoenix','AZ','85018','335.023.126.257','-111.995.752.167','4.0','783','1','Bakeries'
'Tacos El Gordo','Downtown','1724 E Charleston Blvd','Las Vegas','NV','89104','361.584.751','-1.151.265.495','4.5','1363','1','Restaurants'
'Basil & Garlic Bistro','','9330 E Poinsettia Dr','Scottsdale','AZ','85260','33.594.737','-111.880.444','4.5','241','1','Italian'
'Panera Bread','','1125 E Glendale Ave','Phoenix','AZ','85020','335.378.848.104','-112.057.456.547','2.5','97','1','Food'
'Roy's Restaurant','','5350 E Marriott Dr','Phoenix','AZ','85054','336.834.609.026','-111.965.779.048','3.5','295','1','Asian Fusion'
'Fabulous Freddy's','','4309 W Craig Rd','North Las Vegas','NV','89032','36.238.926','-115.198.928','2.5','124','1','Automotive'
'Last Exit Live','','717 S Central Ave','Phoenix','AZ','85004','334.408.589','-1.120.737.619','4.0','34','1','Music Venues'
'Dillard's','','6545 E Southern Ave','Mesa','AZ','85206','333.901.773','-1.116.875.523','3.0','8','1','Men's Clothing'
'Sandella's Flatbread Cafe','','6050 W Chandler Blvd Unit 4','Chandler','AZ','85226','333.058.373','-1.119.462.863','4.0','67','0','Sandwiches'
'White Cup Coffee','','3933 E Indian School Rd','Phoenix','AZ','85018','334.943.965','-1.119.955.077','4.5','72','1','Coffee & Tea'
'Sprouts Farmers Market','','1813 N Dysart Rd','Avondale','AZ','85392','33.468.389','-112.339.584','4.0','70','1','Farmers Market'
'Hanabi','Westside','9350 W Sahara Ave','Las Vegas','NV','89117','36.147.262','-1.152.998.714','4.0','326','1','Japanese'
'Original Steaks and Hoagies','','10735 Ravenna Rd','Twinsburg','OH','44087','413.313.413','-814.637.586','4.0','82','1','Restaurants'
'First Food & Bar','The Strip','The Palazzo 3327 Las Vegas Blvd S','Las Vegas','NV','89109','361.235.594.764','-115.168.669.224','3.5','359','0','Nightlife'
'The Hidden House Cocktail Lounge','','607 W Osborn Rd','Phoenix','AZ','85013','334.875.653','-1.120.817.553','3.5','52','0','Dance Clubs'
'Austins Steakhouse','','2101 Texas Star Ln','North Las Vegas','NV','89032','361.979.948.329','-115.192.156.167','3.5','114','1','Restaurants'
'New York Pizza & Pasta','Westside','2400 S Jones Blvd Ste 13','Las Vegas','NV','89146','361.452.004.152','-115.224.454.178','4.0','229','1','Italian'
'Burrito Boyz','Etobicoke','1197 The Queensway','Etobicoke','ON','M8Z 1R8','436.216.063','-795.225.258','4.0','88','1','Restaurants'
'Michaels','','1925 E Camelback Rd Ste 132','Phoenix','AZ','85016','335.075.259','-1.120.414.936','3.0','45','1','Hobby Shops'
'Vapology - Art of Vapor','Spring Valley','8530 W Warm Springs Rd Ste 103','Las Vegas','NV','89113','360.563.548','-1.152.773.214','5.0','77','0','Hobby Shops'
'Gallagher's','','3220 E Baseline Rd','Phoenix','AZ','85042','333.788.938','-1.120.109.661','2.5','175','1','Sports Bars'
'Best Buy','','2727 W Thunderbird Rd','Phoenix','AZ','85053','336.098.421','-1.121.181.341','2.5','77','1','Automotive'
'First Watch - Breakfast Brunch & Lunch','','1939 S Val Vista Dr','Mesa','AZ','85204','33.380.479','-1.117.533.699','4.0','163','1','American (Traditional)'
'Thai Rama','','927 E University Dr','Tempe','AZ','85281','33.421.712','-111.925.231','3.5','108','0','Thai'
'Phoenix Tequila Festival','','201 E Jefferson St','Phoenix','AZ','85004','334.460.091','-1.120.712.364','4.5','5','1','Local Flavor'
'Los Favoritos','','1900 W Chandler Blvd Ste 18','Chandler','AZ','85224','333.074.261.253','-111.874.065.756','3.5','174','1','Restaurants'
'Woodlands Vegetarian South Indian Kitchen','','4980 W Ray Rd Ste 10','Chandler','AZ','85226','333.216.596.996','-111.927.712.014','4.0','179','1','Vegetarian'
'Press Wine Bar','Tremont','2221 Professor Ave','Cleveland','OH','44113','41.481.905','-81.686.666','3.5','99','0','Bars'
'Mosaic Salon Boutique','','9550 S Eastern Ave Ste 170','Las Vegas','NV','89123','360.146.775','-1.151.173.773','4.5','147','1','Day Spas'
'3on Smith Cafe','','3701 E Indian School Rd','Phoenix','AZ','85018','334.949.109.022','-112.001.944.382','4.5','158','1','Restaurants'
